4.5M;190;90;40
3.5M;89.9;80;39
3M;79;65.9;38
2.75M;64.9;55;37
2.25M;54.9;30;36
2M;29.9;25;35
1.9M;24.9;20;34
1.8M;20.9;10;33
1.6M;9.9;7.6;32
1.5M;7.5;6.5;31
1.3M;6.4;5.5;30
1.1M;5.4;4.6;29
1M;4.5;3.51;28
950K;3.5;3.26;27
850K;3.25;3.1;26
800K;3;2.76;25
750K;2.75;2.51;24
700K;2.5;2.26;23
650K;2.25;2;22
600K;1.99;1.76;21
550K;1.75;1.6;20
500K;1.5;1.26;19
450K;1.25;1.1;18
350K;1;0.851;17
300K;0.85;0.7;16
250K;0.69;0.56;15
200K;0.55;0.475;14
180K;0.475;0.41;13
160K;0.4;0.331;12
150K;0.33;0.271;11
130K;0.27;0.221;10
110K;0.22;0.181;9
100K;0.18;0.141;8
85K;0.14;0.111;7
75K;0.11;0.081;6
65K;0.08;0.055;5
50K;0.054;0.041;4
40K;0.04;0.029;3
30K;0.028;0.021;2
25K;0.02;0.001;1
